Team_Name,Winning_Matches,total_Runs,total_Wicket,Player_of_Team,TossWin_MatchWin
Mumbai Indians,145,8510,1506,RG Sharma,76
Chennai Super Kings,131,9715,1402,MS Dhoni,24
Kolkata Knight Riders,120,5684,1354,AD Russell,74
Royal Challengers Bangalore,116,5440,1406,AB de Villiers,65
Rajasthan Royals,103,6677,1181,JC Buttler,57
Kings XI Punjab,88,4749,1076,SE Marsh,53
Sunrisers Hyderabad,79,4853,991,DA Warner,36
Delhi Capitals,41,6090,487,S Dhawan,36
Deccan Chargers,29,3798,446,AC Gilchrist,19
Gujarat Titans,23,1110,227,Shubman Gill,13
